Department,Major,Degree,School,Course Title,Course Description,Cost
Community Engagement Cluster,Political Science,Bachelors (BA/BS),University of Maryland - Baltimore County,HIST 303 - SECOND WORLD WAR,"Origins, nature and impact of World War II. In addition to an examination of the diplomatic and military events, the course also is concerned with the effects of",915.00
Community Engagement Cluster,Political Science,Bachelors (BA/BS),University of Maryland - Baltimore County,POLI 325 - POLITICL PARTIES/ELECTNS,"A theoretical and comparative examination of the electoral process, with special attention to American politics. Consideration of electoral methods, party organization, party systems, candidate selection and voter behavior. Recommended Preparation: Junior standing or POLI 100.",915.00
Environmental Protection,Business/Admin./Mgmt.,AA,Montgomery College Rockville Campus,INTRODUCTION TO NUTRITION,"Study of nutrition as it relates to health and disease. Includes functions of nutrients; factors affecting nutrient intake, absorption, and utilization; and nutrient needs during the life cycle and illness. Emphasis on planning and preparing daily diets for optimal health. Course concludes by applying the principals of diet modifications to the treatment of disease.",345.00
State's Attorney,Paralegal Studies,AA,Montgomery College Rockville Campus,BIOLOGY 101,"Designed to satisfy the General Education science requirement, this course introduces the basic principles governing living organisms with emphasis on the molecular and cellular basis of life. Concepts in genetics, reproduction, development, evolution, and ecology are discussed.",460.00
State's Attorney,Psychology,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,GENERAL BIOLOGY,BIO-1010-DL04 General Biology,400.00
Health & Human Services,Psychology,Certificate,PESI HEALTHCARE LLC,PETER LEVINE PHD ON TRAUMA: HOW THE BODY RELEASES TRAUMA AND RESTORES GOODNESS SEMINAR,How the body release trauma. 9 pinciples in successful trauma healing,164.99
Police,Health & Human Services,Certificate,FREDERICK COMMUNITY COLLEGE,ISSUES OF DRUG/ALCOHOL ABUSE,"Presets a comprehensive study of the use of legal and illegal drugs, and analysis if the addictive recovery process for individuals and families",463.50
Police,Health & Human Services,Certificate,FREDERICK COMMUNITY COLLEGE,FUNDAMENTALS OF ADDICTIONS,"Presents theoretical approaches to the field of addictions, and intro to the 12 core functions of the alcohol and drug abuse counselor",463.50
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",FINANCIAL DECISION MAKING FOR MANAGERS,"Prerequisite: Knowledge of the fundamental concepts of financial accounting and economics, including opportunity cost, the time value of money, and financial analysis. An investigation of financial decision making in business, government, and not-for-profit organizations. Emphasis is on the application of financial and nonfinancial information to a wide range of management decisions, from product pricing and budgeting to project analysis and performance measurement. A variety of decision-making tools (such as break-even analysis, activity-based costing procedures, and discounted cash flow techniques) are studied. Contemporary managerial practices are explored.",1374.00
Health & Human Services,None,Non-Degree,University of Maryland - Baltimore,"100: KIDS CHARGED AS ADULTS: AT THE CROSSROADS OF PSYCHOLOGY, HUMAN DEVELOPMENT AND THE LAW","Discuss and explore the psychological, developmental and legal implications of charging kids as adults. An emphasis will be placed on adolescent criminal pathology, developmental changed and legal principals. Explore the role of forensic social workers in saving youth from entering the adult system.",125.00
Fire/Rescue Services,Biological Sciences: General Biology,Bachelors (BA/BS),UNIVERSITY OF MARYLAND,ORGANIC CHEMISTRY II,,1268.68
Fire/Rescue Services,Biological Sciences: General Biology,Bachelors (BA/BS),UNIVERSITY OF MARYLAND,ORGANIC CHEMISTRY LAB II,,0.00
Fire/Rescue Services,Biological Sciences: General Biology,Bachelors (BA/BS),UNIVERSITY OF MARYLAND,ELEMENTARY CALCULUS,,561.32
Health & Human Services,Psychology,Certificate,Associated Center for Therapy,GOTTMAN CLINICIAL TRAINING LEVEL 1,"Integrate research-based methods to maximize your competence and inspire transformation.
  How couples really sustain their marriages-in contrast to common myths and misconceptions
  How the quality of relationships affects the immune system, physical health and well-being
  How marital problems change over time, but never go away-even in happy couples
  Proven strategies and tools to help couples successfully manage conflict
  Skills that empower partners to dialogue about their worst gridlocked
  issues
  Methods to help couples process their fights and heal their hurts
  Techniques for couples to deepen their intimacy and minimize relapse

  -Receive a 300-page Clinical Manual featuring new relationship assessment questionnaires and clinical interventions - a $150 value.",549.00
Health & Human Services,Psychology,Certificate,Associated Center for Therapy,GOTTMAN CLINICIAL TRAINING LEVEL 2,"Refine your clinical skills and expand your strategies and interventions in your work with couples
  Learn to internalize and integrate the powerful, research-based Gottman Method Assessment and Intervention techniques.
  Gain insight as to when to use these methods and when couples therapy is contraindicated.
  Gain confidence in using the techniques
  Assess a couple's  Friendship Profile,   Conflict Profile,  and  Shared Meanings Profile 
  Develop interventions that couples can use as antidotes to the  Four Horsemen 
  Help couples to soothe physiological flooding
  Apply six modes of changing the  Attack/Defend System  in a couple's interactions",549.00
Health & Human Services,Psychology,Certificate,Associated Center for Therapy,GOTTMAN CLINICIAL TRAINING LEVEL 3,"Assist couples in establishing dialogue about their grid-locked conflicts
Select and implement interventions to help couples deepen their  Friendship System  with rituals of connection
Select and implement interventions to help couples create a shared system of values and meaning
Identify and implement five different co-morbidities common to couples using Gottman Assessments and Interventions
  Effectively use the Oral History Interview during a couple's assessment and understand its implications.
  -Clearly explain to a couple their strengths and challenges in terms of the  Sound Relationship House .
  -Help Partners identify their own  Four Horsemen  and understand the antidotes.
  -Select and utilize appropriate tools to help a couple deepen their  Friendship System .
  Effectively use the Oral History Interview during a couple's assessment and understand its implications.
  -Clearly explain to a couple their strengths and challenges in terms of the  Sound Relationship House .
  -Help Partners identify their own  Four Horsemen  and understand the antidotes.",549.00
